ID_Mahasiswa,Prodi,IPK,IPS_Terakhir,Persentase_Kehadiran,SKS_Lulus,Jumlah_Organisasi,Kondisi_Ekonomi,Kualitas_Akses_Internet,Pengalaman_Magang,Jumlah_Sertifikasi,Aktivitas_Sosial_Skor,Status_Pekerjaan,Dukungan_Keluarga,Skor_Softskill,Kelulusan_Tepat_Waktu,Arah_Karier
MHS00844,Manajemen,2.96,2.67,73,128,1,Menengah,Kurang,Ya,1,4,Freelance,4,5,Tidak Tepat Waktu,Lanjut Studi
MHS00845,Komputer,3.59,3.87,82,113,2,Rendah,Kurang,Ya,5,6,Tidak Bekerja,3,7,Tepat Waktu,Software Developer
MHS00846,Komputer,3.15,3.35,75,123,0,Menengah,Cukup,Ya,3,5,Part-time,3,6,Tepat Waktu,Startup
MHS00847,Komputer,4.0,4.0,100,137,0,Rendah,Baik,Ya,3,5,Freelance,4,8,Tepat Waktu,Software Developer
MHS00848,Bisnis Digital,3.0,3.29,81,115,0,Tinggi,Baik,Ya,3,6,Tidak Bekerja,4,6,Tepat Waktu,Startup
MHS00849,Manajemen,3.31,3.04,88,126,5,Rendah,Cukup,Tidak,2,9,Part-time,3,6,Tepat Waktu,Human Resource
MHS00850,Komputer,3.47,3.27,82,117,1,Menengah,Kurang,Tidak,4,3,Tidak Bekerja,5,5,Tepat Waktu,Lanjut Studi
MHS00851,Manajemen,3.69,3.68,82,114,1,Menengah,Baik,Tidak,1,6,Part-time,3,8,Tepat Waktu,Lanjut Studi
MHS00852,Manajemen,3.01,2.71,81,111,1,Rendah,Kurang,Ya,2,7,Freelance,4,7,Tidak Tepat Waktu,Marketing
MHS00853,Bisnis Digital,2.94,3.13,66,110,1,Tinggi,Cukup,Ya,5,5,Tidak Bekerja,3,7,Tidak Tepat Waktu,E-Commerce
MHS00854,Komputer,2.8,2.36,55,111,1,Menengah,Baik,Ya,6,7,Tidak Bekerja,4,6,Tidak Tepat Waktu,Data Analyst
MHS00855,Komputer,3.36,3.44,97,107,2,Rendah,Kurang,Ya,3,4,Tidak Bekerja,2,5,Tepat Waktu,Wirausaha Digital
MHS00856,Komputer,3.05,3.25,89,125,0,Menengah,Kurang,Tidak,3,6,Tidak Bekerja,3,9,Tepat Waktu,Wirausaha Digital
MHS00857,Bisnis Digital,3.3,3.54,82,113,1,Rendah,Cukup,Tidak,3,6,Tidak Bekerja,3,7,Tepat Waktu,E-Commerce
MHS00858,Bisnis Digital,3.17,3.1,85,127,0,Tinggi,Cukup,Ya,3,2,Tidak Bekerja,3,4,Tepat Waktu,Digital Marketing
MHS00859,Manajemen,3.21,2.96,86,132,3,Menengah,Cukup,Ya,0,4,Freelance,4,7,Tepat Waktu,Lanjut Studi
MHS00860,Bisnis Digital,3.62,4.0,83,144,2,Menengah,Kurang,Ya,3,6,Part-time,4,6,Tepat Waktu,Startup
MHS00861,Bisnis Digital,4.0,3.87,96,135,1,Rendah,Cukup,Ya,2,4,Part-time,4,8,Tepat Waktu,Digital Marketing
MHS00862,Bisnis Digital,2.46,2.65,83,111,0,Tinggi,Baik,Ya,7,4,Freelance,3,9,Tidak Tepat Waktu,E-Commerce
MHS00863,Manajemen,2.62,2.92,64,117,3,Menengah,Baik,Ya,5,8,Freelance,5,9,Tidak Tepat Waktu,Industri Manajemen
MHS00864,Bisnis Digital,4.0,4.0,85,134,1,Tinggi,Kurang,Ya,1,5,Freelance,2,10,Tepat Waktu,Digital Marketing
MHS00865,Manajemen,3.47,3.59,73,127,3,Menengah,Baik,Ya,0,4,Freelance,1,6,Tepat Waktu,Lanjut Studi
MHS00866,Komputer,3.54,3.35,88,115,0,Menengah,Kurang,Ya,4,5,Freelance,4,10,Tepat Waktu,Software Developer
MHS00867,Komputer,3.05,3.11,92,125,3,Menengah,Cukup,Ya,3,3,Tidak Bekerja,1,7,Tepat Waktu,Software Developer
MHS00868,Komputer,3.38,3.25,98,103,3,Rendah,Baik,Tidak,2,6,Part-time,3,7,Tepat Waktu,Lanjut Studi
MHS00869,Komputer,3.62,3.39,92,131,3,Rendah,Cukup,Ya,6,6,Part-time,3,5,Tepat Waktu,Wirausaha Digital
MHS00870,Bisnis Digital,2.96,3.06,88,107,1,Rendah,Kurang,Tidak,4,1,Tidak Bekerja,2,7,Tidak Tepat Waktu,Wirausaha Digital
MHS00871,Komputer,2.93,2.64,81,125,1,Menengah,Kurang,Ya,3,8,Tidak Bekerja,3,7,Tidak Tepat Waktu,Data Analyst
MHS00872,Komputer,2.68,2.57,90,110,2,Tinggi,Cukup,Ya,4,6,Tidak Bekerja,5,4,Tidak Tepat Waktu,Wirausaha Digital
MHS00873,Komputer,3.91,3.44,85,107,0,Menengah,Baik,Ya,3,2,Tidak Bekerja,3,7,Tepat Waktu,Data Analyst
MHS00874,Manajemen,3.58,3.56,83,97,2,Rendah,Kurang,Tidak,3,7,Freelance,3,7,Tepat Waktu,Industri Manajemen
MHS00875,Komputer,2.88,2.74,94,98,2,Menengah,Cukup,Tidak,1,5,Freelance,5,7,Tidak Tepat Waktu,Industri Teknologi
MHS00876,Bisnis Digital,2.92,2.88,69,123,0,Tinggi,Baik,Ya,4,2,Freelance,5,6,Tidak Tepat Waktu,E-Commerce
MHS00877,Komputer,2.7,2.57,89,118,1,Menengah,Kurang,Tidak,3,3,Tidak Bekerja,2,6,Tidak Tepat Waktu,Software Developer
MHS00878,Komputer,2.9,2.87,80,135,2,Tinggi,Baik,Tidak,2,4,Tidak Bekerja,5,9,Tidak Tepat Waktu,Wirausaha Digital
MHS00879,Komputer,3.64,3.62,71,103,1,Menengah,Kurang,Ya,1,4,Tidak Bekerja,4,5,Tepat Waktu,Lanjut Studi
MHS00880,Bisnis Digital,3.82,3.79,88,127,5,Menengah,Cukup,Ya,2,8,Tidak Bekerja,3,9,Tepat Waktu,Digital Marketing
MHS00881,Komputer,3.33,3.59,81,120,0,Tinggi,Baik,Tidak,2,5,Tidak Bekerja,3,4,Tepat Waktu,Software Developer
MHS00882,Komputer,3.18,3.64,74,111,2,Tinggi,Baik,Ya,4,5,Tidak Bekerja,4,8,Tepat Waktu,Startup
MHS00883,Manajemen,3.4,3.4,79,111,2,Menengah,Kurang,Tidak,2,6,Part-time,3,6,Tepat Waktu,Industri Manajemen
MHS00884,Manajemen,3.11,2.99,72,89,3,Menengah,Kurang,Ya,1,3,Freelance,4,6,Tidak Tepat Waktu,Lanjut Studi
MHS00885,Komputer,3.66,3.7,86,143,1,Menengah,Cukup,Ya,4,5,Part-time,2,7,Tepat Waktu,Software Developer
MHS00886,Bisnis Digital,3.2,3.34,85,114,5,Tinggi,Kurang,Tidak,6,5,Part-time,2,6,Tepat Waktu,Wirausaha Digital
MHS00887,Komputer,2.82,2.65,99,108,0,Menengah,Cukup,Tidak,3,1,Tidak Bekerja,2,6,Tidak Tepat Waktu,Startup
MHS00888,Manajemen,3.53,3.64,85,115,1,Tinggi,Baik,Ya,1,4,Part-time,2,8,Tepat Waktu,Marketing
MHS00889,Manajemen,3.46,3.51,91,130,4,Rendah,Kurang,Ya,1,7,Tidak Bekerja,4,8,Tepat Waktu,Wirausaha
MHS00890,Bisnis Digital,2.95,2.98,75,132,3,Menengah,Cukup,Tidak,1,7,Freelance,4,8,Tidak Tepat Waktu,Content Strategist
MHS00891,Manajemen,3.63,3.58,95,120,0,Tinggi,Cukup,Ya,4,3,Tidak Bekerja,3,6,Tepat Waktu,Marketing
MHS00892,Manajemen,3.33,3.34,100,116,3,Menengah,Kurang,Ya,2,7,Part-time,5,8,Tepat Waktu,Industri Manajemen
MHS00893,Komputer,3.43,3.34,100,136,3,Menengah,Cukup,Ya,1,6,Part-time,4,4,Tepat Waktu,Lanjut Studi
MHS00894,Komputer,2.97,3.03,76,115,1,Tinggi,Baik,Ya,2,7,Tidak Bekerja,1,6,Tidak Tepat Waktu,Software Developer
MHS00895,Bisnis Digital,3.8,3.83,97,119,1,Tinggi,Baik,Ya,4,7,Tidak Bekerja,4,8,Tepat Waktu,E-Commerce
MHS00896,Komputer,3.13,2.77,83,114,3,Menengah,Baik,Ya,7,4,Freelance,2,4,Tidak Tepat Waktu,Data Analyst
MHS00897,Bisnis Digital,3.16,2.71,77,89,1,Menengah,Baik,Ya,8,5,Tidak Bekerja,5,10,Tepat Waktu,Digital Marketing
MHS00898,Komputer,2.77,2.72,77,91,0,Menengah,Baik,Tidak,0,5,Tidak Bekerja,1,6,Tidak Tepat Waktu,Software Developer
MHS00899,Komputer,3.41,3.21,91,140,0,Rendah,Kurang,Ya,7,1,Part-time,3,7,Tepat Waktu,Startup
MHS00900,Bisnis Digital,3.23,2.8,84,131,1,Rendah,Baik,Ya,7,5,Part-time,5,6,Tepat Waktu,Digital Marketing
MHS00901,Manajemen,2.98,3.19,92,122,0,Menengah,Baik,Ya,2,4,Tidak Bekerja,2,9,Tepat Waktu,Marketing
MHS00902,Komputer,3.29,3.48,83,129,1,Tinggi,Cukup,Ya,0,5,Tidak Bekerja,2,5,Tepat Waktu,Industri Teknologi
MHS00903,Manajemen,3.66,3.89,82,129,1,Menengah,Cukup,Ya,6,4,Tidak Bekerja,4,9,Tepat Waktu,Industri Manajemen
MHS00904,Manajemen,2.81,2.79,88,123,1,Rendah,Baik,Ya,4,8,Freelance,3,7,Tidak Tepat Waktu,Marketing
MHS00905,Manajemen,2.95,2.72,80,123,0,Tinggi,Cukup,Ya,1,5,Tidak Bekerja,4,5,Tidak Tepat Waktu,Wirausaha
MHS00906,Komputer,3.11,3.11,85,118,3,Menengah,Cukup,Ya,2,6,Freelance,3,7,Tepat Waktu,Startup
MHS00907,Bisnis Digital,2.81,3.02,93,125,4,Menengah,Kurang,Ya,3,4,Part-time,3,8,Tidak Tepat Waktu,Digital Marketing
MHS00908,Komputer,3.12,3.16,88,131,5,Menengah,Cukup,Ya,2,6,Part-time,4,3,Tepat Waktu,Software Developer
MHS00909,Bisnis Digital,3.34,3.94,89,107,1,Rendah,Kurang,Ya,5,2,Tidak Bekerja,3,10,Tepat Waktu,Digital Marketing
MHS00910,Komputer,3.61,3.4,80,136,2,Rendah,Cukup,Tidak,3,7,Tidak Bekerja,4,7,Tepat Waktu,Lanjut Studi
MHS00911,Bisnis Digital,2.93,2.47,85,92,3,Menengah,Cukup,Ya,5,9,Tidak Bekerja,5,6,Tidak Tepat Waktu,Wirausaha Digital
MHS00912,Bisnis Digital,2.67,2.81,82,105,0,Rendah,Kurang,Ya,5,5,Tidak Bekerja,2,9,Tidak Tepat Waktu,Startup
MHS00913,Manajemen,3.29,3.26,92,109,3,Menengah,Cukup,Ya,2,10,Part-time,2,8,Tepat Waktu,Industri Manajemen
MHS00914,Komputer,2.56,2.33,86,91,1,Menengah,Cukup,Ya,5,7,Freelance,3,6,Tidak Tepat Waktu,Software Developer
MHS00915,Manajemen,3.06,3.1,78,111,1,Menengah,Baik,Ya,1,7,Tidak Bekerja,5,6,Tepat Waktu,Lanjut Studi
MHS00916,Manajemen,3.08,3.11,84,127,0,Menengah,Cukup,Ya,0,7,Part-time,3,7,Tepat Waktu,Human Resource
MHS00917,Bisnis Digital,3.09,2.79,88,99,4,Rendah,Cukup,Ya,2,8,Tidak Bekerja,4,7,Tidak Tepat Waktu,E-Commerce
MHS00918,Manajemen,3.61,3.53,92,128,3,Rendah,Kurang,Tidak,2,5,Tidak Bekerja,4,8,Tepat Waktu,Marketing
MHS00919,Komputer,3.19,3.15,82,144,0,Menengah,Cukup,Tidak,8,1,Part-time,2,5,Tepat Waktu,Startup
MHS00920,Bisnis Digital,3.44,3.32,84,110,2,Menengah,Kurang,Tidak,3,6,Part-time,4,6,Tepat Waktu,Wirausaha Digital
MHS00921,Bisnis Digital,3.58,3.78,87,118,1,Tinggi,Baik,Ya,4,6,Tidak Bekerja,2,9,Tepat Waktu,Digital Marketing
MHS00922,Manajemen,3.42,3.65,83,144,2,Menengah,Baik,Ya,0,5,Freelance,1,8,Tepat Waktu,Pemerintahan
MHS00923,Bisnis Digital,3.13,3.27,76,114,1,Menengah,Cukup,Tidak,2,2,Part-time,3,6,Tidak Tepat Waktu,Wirausaha Digital
MHS00924,Bisnis Digital,3.09,3.03,67,110,2,Tinggi,Baik,Tidak,2,7,Tidak Bekerja,3,8,Tidak Tepat Waktu,E-Commerce
MHS00925,Komputer,2.2,2.52,76,98,3,Rendah,Kurang,Tidak,6,9,Part-time,4,5,Tidak Tepat Waktu,Startup
MHS00926,Manajemen,2.54,2.73,85,87,1,Tinggi,Baik,Ya,0,6,Tidak Bekerja,4,7,Tidak Tepat Waktu,Pemerintahan
MHS00927,Bisnis Digital,3.28,3.37,86,142,1,Tinggi,Baik,Ya,4,4,Freelance,3,7,Tepat Waktu,E-Commerce
MHS00928,Bisnis Digital,3.88,4.0,82,138,1,Rendah,Kurang,Ya,4,3,Part-time,3,8,Tepat Waktu,Digital Marketing
MHS00929,Bisnis Digital,3.44,3.59,93,133,2,Rendah,Cukup,Ya,4,5,Part-time,2,8,Tepat Waktu,Digital Marketing
MHS00930,Bisnis Digital,3.16,3.14,82,109,3,Tinggi,Baik,Tidak,2,4,Part-time,4,6,Tidak Tepat Waktu,Wirausaha Digital
MHS00931,Komputer,3.07,3.48,84,123,4,Tinggi,Cukup,Ya,2,10,Tidak Bekerja,3,9,Tepat Waktu,Wirausaha Digital
MHS00932,Komputer,2.84,2.76,80,109,2,Menengah,Cukup,Ya,0,6,Tidak Bekerja,5,7,Tidak Tepat Waktu,Industri Teknologi
MHS00933,Manajemen,3.12,3.03,93,144,3,Menengah,Baik,Ya,2,5,Tidak Bekerja,3,8,Tepat Waktu,Wirausaha
MHS00934,Bisnis Digital,2.57,2.79,97,111,2,Rendah,Kurang,Ya,5,3,Tidak Bekerja,4,5,Tidak Tepat Waktu,Digital Marketing
MHS00935,Manajemen,3.29,3.63,82,139,3,Menengah,Cukup,Tidak,2,7,Tidak Bekerja,2,6,Tepat Waktu,Wirausaha
MHS00936,Bisnis Digital,2.86,2.74,84,128,0,Rendah,Kurang,Ya,2,4,Part-time,3,7,Tidak Tepat Waktu,E-Commerce
MHS00937,Manajemen,3.33,3.65,94,129,3,Tinggi,Baik,Ya,3,3,Part-time,2,8,Tepat Waktu,Marketing
MHS00938,Manajemen,3.05,2.86,80,129,1,Tinggi,Baik,Ya,0,3,Tidak Bekerja,3,10,Tepat Waktu,Lanjut Studi
MHS00939,Komputer,3.47,3.4,88,128,3,Menengah,Cukup,Tidak,1,9,Freelance,3,4,Tepat Waktu,Lanjut Studi
MHS00940,Bisnis Digital,3.65,3.69,73,122,0,Tinggi,Baik,Tidak,3,1,Tidak Bekerja,1,6,Tepat Waktu,Digital Marketing
MHS00941,Komputer,3.11,3.06,93,97,1,Menengah,Cukup,Tidak,2,3,Tidak Bekerja,4,5,Tidak Tepat Waktu,Data Analyst
MHS00942,Komputer,2.95,2.81,86,132,2,Rendah,Kurang,Ya,4,5,Part-time,2,7,Tidak Tepat Waktu,Software Developer
MHS00943,Komputer,3.56,3.27,84,115,1,Menengah,Cukup,Ya,1,5,Tidak Bekerja,2,6,Tepat Waktu,Wirausaha Digital
MHS00944,Bisnis Digital,3.18,3.39,86,101,3,Rendah,Cukup,Ya,0,5,Tidak Bekerja,5,6,Tepat Waktu,Wirausaha Digital
MHS00945,Komputer,3.58,3.26,80,124,2,Menengah,Cukup,Ya,1,8,Freelance,2,5,Tepat Waktu,Startup
MHS00946,Bisnis Digital,2.87,2.85,83,101,0,Menengah,Baik,Tidak,4,5,Tidak Bekerja,4,6,Tidak Tepat Waktu,Digital Marketing
MHS00947,Bisnis Digital,3.48,3.8,92,127,2,Tinggi,Baik,Tidak,8,6,Tidak Bekerja,3,5,Tepat Waktu,Wirausaha Digital
MHS00948,Bisnis Digital,2.91,2.97,82,116,0,Rendah,Cukup,Ya,3,5,Tidak Bekerja,2,8,Tidak Tepat Waktu,E-Commerce
MHS00949,Komputer,3.13,3.14,83,117,1,Rendah,Cukup,Ya,2,4,Tidak Bekerja,1,10,Tepat Waktu,Startup
MHS00950,Manajemen,2.99,2.42,82,105,1,Menengah,Baik,Ya,2,7,Part-time,1,8,Tidak Tepat Waktu,Industri Manajemen
MHS00951,Komputer,2.77,2.86,77,99,1,Rendah,Cukup,Ya,0,2,Freelance,1,6,Tidak Tepat Waktu,Startup
MHS00952,Komputer,4.0,3.94,98,116,0,Menengah,Cukup,Ya,0,5,Tidak Bekerja,4,9,Tepat Waktu,Lanjut Studi
MHS00953,Manajemen,3.31,3.21,88,117,1,Tinggi,Baik,Tidak,5,5,Part-time,2,4,Tepat Waktu,Lanjut Studi
MHS00954,Bisnis Digital,3.9,3.57,92,131,2,Menengah,Cukup,Ya,4,5,Freelance,3,6,Tepat Waktu,Content Strategist
MHS00955,Komputer,4.0,3.54,94,100,1,Menengah,Cukup,Ya,3,6,Tidak Bekerja,4,7,Tepat Waktu,Software Developer
MHS00956,Bisnis Digital,3.55,3.67,86,98,1,Tinggi,Baik,Ya,1,6,Tidak Bekerja,3,5,Tepat Waktu,Lanjut Studi
MHS00957,Manajemen,3.48,3.64,100,144,1,Rendah,Kurang,Tidak,4,4,Tidak Bekerja,2,10,Tepat Waktu,Wirausaha
MHS00958,Bisnis Digital,3.21,3.56,80,110,1,Rendah,Kurang,Ya,3,4,Freelance,3,5,Tepat Waktu,E-Commerce
MHS00959,Bisnis Digital,3.21,3.04,78,97,3,Menengah,Baik,Tidak,0,9,Tidak Bekerja,3,9,Tidak Tepat Waktu,Wirausaha Digital
MHS00960,Manajemen,2.84,3.05,84,134,2,Menengah,Kurang,Tidak,2,6,Tidak Bekerja,4,5,Tidak Tepat Waktu,Marketing
MHS00961,Manajemen,3.36,3.32,79,135,5,Rendah,Baik,Ya,5,6,Part-time,3,6,Tepat Waktu,Wirausaha
MHS00962,Manajemen,3.57,3.59,94,129,0,Menengah,Cukup,Tidak,1,5,Tidak Bekerja,3,5,Tepat Waktu,Industri Manajemen
MHS00963,Komputer,2.65,2.35,91,103,0,Menengah,Cukup,Ya,0,1,Freelance,2,7,Tidak Tepat Waktu,Data Analyst
MHS00964,Komputer,3.3,3.31,83,121,2,Menengah,Cukup,Ya,2,8,Tidak Bekerja,1,6,Tepat Waktu,Wirausaha Digital
MHS00965,Manajemen,2.98,3.6,74,104,1,Menengah,Cukup,Ya,1,2,Freelance,4,7,Tepat Waktu,Industri Manajemen
MHS00966,Manajemen,3.18,2.55,86,131,3,Tinggi,Baik,Tidak,4,10,Freelance,2,7,Tidak Tepat Waktu,Human Resource
MHS00967,Komputer,3.3,3.23,96,130,2,Menengah,Cukup,Ya,2,7,Tidak Bekerja,4,8,Tepat Waktu,Industri Teknologi
MHS00968,Manajemen,3.5,3.67,89,130,3,Rendah,Kurang,Ya,2,7,Part-time,4,9,Tepat Waktu,Wirausaha
MHS00969,Komputer,2.62,3.03,85,105,1,Tinggi,Baik,Ya,3,4,Freelance,3,3,Tidak Tepat Waktu,Startup
MHS00970,Manajemen,3.28,3.39,78,119,1,Tinggi,Cukup,Ya,5,4,Tidak Bekerja,2,7,Tepat Waktu,Industri Manajemen
MHS00971,Manajemen,3.65,3.8,85,134,0,Rendah,Kurang,Tidak,0,8,Tidak Bekerja,4,6,Tepat Waktu,Lanjut Studi
MHS00972,Komputer,2.97,3.13,73,110,0,Rendah,Kurang,Ya,3,2,Freelance,5,8,Tidak Tepat Waktu,Startup
MHS00973,Bisnis Digital,3.0,3.11,93,118,2,Menengah,Cukup,Ya,2,8,Tidak Bekerja,4,6,Tepat Waktu,Digital Marketing
MHS00974,Komputer,3.0,3.03,87,105,2,Menengah,Cukup,Ya,3,7,Tidak Bekerja,5,9,Tepat Waktu,Startup
MHS00975,Bisnis Digital,2.85,2.94,71,112,0,Menengah,Cukup,Ya,2,5,Tidak Bekerja,4,7,Tidak Tepat Waktu,Wirausaha Digital
MHS00976,Komputer,3.55,3.66,92,94,1,Menengah,Baik,Ya,2,5,Freelance,3,7,Tepat Waktu,Data Analyst
MHS00977,Komputer,2.98,3.05,93,140,0,Rendah,Kurang,Ya,5,3,Freelance,3,8,Tepat Waktu,Software Developer
MHS00978,Komputer,2.65,2.61,71,112,0,Rendah,Kurang,Tidak,3,4,Freelance,4,5,Tidak Tepat Waktu,Software Developer
MHS00979,Manajemen,2.96,3.22,76,123,0,Rendah,Kurang,Ya,3,3,Part-time,2,6,Tidak Tepat Waktu,Wirausaha
MHS00980,Manajemen,3.44,3.28,92,139,6,Menengah,Kurang,Ya,4,8,Part-time,3,6,Tepat Waktu,Pemerintahan
MHS00981,Bisnis Digital,2.66,2.5,77,100,1,Menengah,Cukup,Tidak,2,3,Tidak Bekerja,1,4,Tidak Tepat Waktu,E-Commerce
MHS00982,Komputer,3.37,3.67,87,131,1,Menengah,Baik,Ya,4,5,Freelance,4,7,Tepat Waktu,Startup
MHS00983,Komputer,3.15,3.34,87,120,4,Tinggi,Cukup,Ya,2,5,Part-time,3,6,Tepat Waktu,Software Developer
MHS00984,Manajemen,3.69,3.54,90,133,1,Menengah,Baik,Ya,1,7,Part-time,4,8,Tepat Waktu,Industri Manajemen
MHS00985,Bisnis Digital,3.39,3.7,76,129,5,Tinggi,Baik,Ya,6,9,Part-time,4,9,Tepat Waktu,Digital Marketing
MHS00986,Komputer,3.01,3.36,76,129,0,Rendah,Kurang,Ya,6,1,Tidak Bekerja,4,6,Tepat Waktu,Data Analyst
MHS00987,Komputer,3.28,3.04,84,116,3,Tinggi,Baik,Ya,2,7,Tidak Bekerja,3,6,Tepat Waktu,Software Developer
MHS00988,Komputer,3.26,3.06,72,127,3,Menengah,Kurang,Ya,1,10,Freelance,3,7,Tepat Waktu,Lanjut Studi
MHS00989,Manajemen,3.69,3.64,89,120,3,Tinggi,Cukup,Tidak,1,4,Tidak Bekerja,5,5,Tepat Waktu,Industri Manajemen
MHS00990,Manajemen,3.86,3.85,90,126,2,Tinggi,Cukup,Ya,1,4,Part-time,4,8,Tepat Waktu,Industri Manajemen
MHS00991,Komputer,3.09,2.78,87,104,2,Rendah,Cukup,Tidak,2,10,Freelance,3,7,Tidak Tepat Waktu,Software Developer
MHS00992,Komputer,3.49,3.35,88,130,2,Tinggi,Cukup,Ya,6,6,Tidak Bekerja,4,6,Tepat Waktu,Industri Teknologi
MHS00993,Komputer,2.72,2.81,78,105,0,Tinggi,Cukup,Tidak,1,3,Part-time,3,6,Tidak Tepat Waktu,Wirausaha Digital
MHS00994,Bisnis Digital,2.97,3.14,85,127,3,Menengah,Cukup,Ya,4,9,Part-time,3,7,Tepat Waktu,Startup
MHS00995,Komputer,3.55,3.31,94,106,2,Menengah,Cukup,Tidak,5,8,Tidak Bekerja,3,8,Tepat Waktu,Wirausaha Digital
MHS00996,Komputer,3.1,3.41,75,109,0,Menengah,Kurang,Ya,5,3,Tidak Bekerja,3,5,Tepat Waktu,Lanjut Studi
MHS00997,Manajemen,3.11,3.26,79,112,1,Tinggi,Cukup,Ya,5,5,Part-time,2,6,Tepat Waktu,Marketing
MHS00998,Komputer,2.92,3.06,81,113,5,Menengah,Cukup,Tidak,4,9,Tidak Bekerja,3,9,Tidak Tepat Waktu,Wirausaha Digital
MHS00999,Manajemen,3.56,3.45,89,131,4,Tinggi,Baik,Ya,1,9,Part-time,3,7,Tepat Waktu,Pemerintahan
MHS01000,Bisnis Digital,2.51,2.0,73,96,0,Menengah,Kurang,Ya,7,6,Tidak Bekerja,5,6,Tidak Tepat Waktu,E-Commerce
MHS01001,Manajemen,3.52,3.3,90,123,2,Tinggi,Baik,Tidak,2,4,Tidak Bekerja,1,6,Tepat Waktu,Marketing
MHS01002,Bisnis Digital,3.51,3.67,87,134,3,Menengah,Cukup,Tidak,3,6,Tidak Bekerja,4,8,Tepat Waktu,Startup
MHS01003,Komputer,3.67,3.73,81,130,2,Rendah,Baik,Ya,6,8,Freelance,4,7,Tepat Waktu,Data Analyst
MHS01004,Manajemen,3.57,3.84,92,117,1,Rendah,Baik,Ya,3,6,Tidak Bekerja,3,8,Tepat Waktu,Industri Manajemen
MHS01005,Komputer,3.36,3.36,96,108,3,Menengah,Kurang,Ya,3,9,Freelance,3,5,Tepat Waktu,Lanjut Studi
MHS01006,Komputer,2.68,2.42,72,115,1,Tinggi,Kurang,Tidak,4,6,Freelance,3,8,Tidak Tepat Waktu,Software Developer
MHS01007,Manajemen,3.18,3.3,95,110,1,Menengah,Kurang,Tidak,0,4,Tidak Bekerja,3,5,Tidak Tepat Waktu,Lanjut Studi
MHS01008,Komputer,3.16,3.05,82,104,2,Menengah,Cukup,Tidak,5,5,Tidak Bekerja,3,7,Tidak Tepat Waktu,Startup
MHS01009,Bisnis Digital,3.31,3.25,90,120,1,Menengah,Cukup,Ya,5,5,Part-time,1,8,Tepat Waktu,E-Commerce
MHS01010,Bisnis Digital,2.95,2.91,97,117,0,Tinggi,Baik,Ya,6,5,Part-time,2,6,Tepat Waktu,Wirausaha Digital
MHS01011,Bisnis Digital,3.23,3.38,97,106,2,Tinggi,Cukup,Ya,4,7,Tidak Bekerja,2,9,Tepat Waktu,Startup
MHS01012,Manajemen,2.85,2.88,71,120,0,Menengah,Cukup,Ya,2,7,Tidak Bekerja,1,8,Tidak Tepat Waktu,Industri Manajemen
MHS01013,Komputer,2.81,2.31,84,136,2,Rendah,Cukup,Ya,4,9,Tidak Bekerja,2,7,Tidak Tepat Waktu,Software Developer
MHS01014,Bisnis Digital,2.35,2.34,65,116,1,Menengah,Kurang,Ya,1,5,Tidak Bekerja,2,6,Tidak Tepat Waktu,E-Commerce
MHS01015,Komputer,3.13,3.23,74,133,2,Rendah,Kurang,Ya,2,3,Part-time,4,8,Tepat Waktu,Industri Teknologi
MHS01016,Manajemen,2.96,3.05,90,119,1,Rendah,Baik,Ya,2,7,Tidak Bekerja,5,7,Tepat Waktu,Industri Manajemen
MHS01017,Bisnis Digital,3.05,3.14,83,99,3,Menengah,Kurang,Ya,4,9,Freelance,3,6,Tidak Tepat Waktu,Startup
MHS01018,Manajemen,2.93,2.92,81,85,3,Menengah,Cukup,Ya,2,6,Tidak Bekerja,4,6,Tidak Tepat Waktu,Human Resource
MHS01019,Manajemen,3.01,3.04,85,113,0,Menengah,Cukup,Ya,0,2,Tidak Bekerja,3,5,Tidak Tepat Waktu,Human Resource
MHS01020,Komputer,3.61,3.55,94,116,1,Rendah,Kurang,Tidak,0,4,Tidak Bekerja,5,6,Tepat Waktu,Data Analyst
MHS01021,Komputer,3.2,3.51,72,121,0,Menengah,Cukup,Ya,2,2,Tidak Bekerja,5,9,Tepat Waktu,Lanjut Studi
MHS01022,Manajemen,3.4,3.45,84,135,1,Menengah,Baik,Tidak,1,4,Tidak Bekerja,1,7,Tepat Waktu,Industri Manajemen
MHS01023,Manajemen,3.41,3.6,91,115,4,Tinggi,Baik,Ya,1,7,Freelance,4,8,Tepat Waktu,Wirausaha
MHS01024,Manajemen,3.28,3.25,84,130,1,Tinggi,Baik,Ya,3,6,Part-time,2,9,Tepat Waktu,Marketing
MHS01025,Manajemen,3.37,3.57,74,94,3,Tinggi,Cukup,Ya,2,2,Part-time,3,7,Tepat Waktu,Marketing
MHS01026,Manajemen,3.39,3.38,76,126,3,Menengah,Kurang,Ya,4,6,Tidak Bekerja,4,8,Tepat Waktu,Marketing
MHS01027,Manajemen,3.06,2.88,82,117,0,Menengah,Baik,Ya,2,6,Part-time,2,7,Tidak Tepat Waktu,Marketing
MHS01028,Bisnis Digital,3.73,3.55,100,129,0,Tinggi,Baik,Ya,3,4,Tidak Bekerja,2,6,Tepat Waktu,Content Strategist
MHS01029,Komputer,3.65,3.07,89,117,1,Menengah,Cukup,Ya,5,9,Part-time,3,9,Tepat Waktu,Startup
